證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
4536,拓凱,113517,110,19392924,170.50,172.50,169.00,172.00,+,4.0,171.00,1,172.50,17,15.55,
4540,全球傳動,808020,562,55623875,69.40,69.80,68.10,68.80,-,1.2,68.80,4,68.90,3,12.76,
4545,銘鈺,8001,8,188673,23.55,23.85,23.35,23.80,+,0.25,23.40,2,23.85,2,0.00,
4551,智伸科,44050,42,5193000,119.00,119.00,117.00,118.50,+,1.0,118.50,1,119.00,5,18.43,
4552,力達-KY,77200,52,3851350,50.20,50.20,49.75,50.10,+,0.25,49.90,2,50.10,5,7.71,
4555,氣立,7000,6,386200,54.40,56.00,54.40,55.50,+,1.0,54.60,2,55.60,1,30.33,
4557,永新-KY,18009,18,1223213,68.20,68.20,67.80,68.00,,0.0,67.90,7,68.00,3,11.95,
4560,強信-KY,348170,195,16941933,48.90,49.20,48.35,49.20,+,0.2,48.80,1,49.20,1,8.56,
4562,穎漢,7000,6,216450,30.90,31.00,30.75,31.00,,0.0,30.60,2,31.00,30,13.90,
4564,元翎,1263710,776,73842475,58.50,59.30,57.40,58.70,+,0.5,58.70,9,58.80,27,20.67,
4566,時碩工業,2425240,"1,708",121921241,51.00,51.50,49.25,49.95,-,0.05,49.95,6,50.00,6,15.81,
4720,德淵,128034,71,1811177,14.10,14.30,14.05,14.20,+,0.1,14.10,1,14.20,6,31.56,
4722,國精化,68442,21,1875554,27.45,27.45,27.40,27.40,,0.0,27.40,7,27.50,7,11.00,
4725,信昌化,886233,497,15483144,17.65,17.75,17.40,17.40,-,0.05,17.40,144,17.50,5,49.71,
4737,華廣,57103,28,2903494,51.00,51.10,50.50,50.90,-,0.1,50.70,1,50.90,7,24.12,
4739,康普,1045976,841,80825983,75.70,78.00,75.70,77.00,+,1.5,77.00,15,77.20,1,26.83,
4746,台耀,119000,66,4540600,38.10,38.25,38.10,38.20,+,0.1,38.15,1,38.20,1,100.53,
4755,三福化,13000,10,574600,44.30,44.50,44.00,44.50,+,0.1,44.25,1,44.65,2,10.85,
4763,材料-KY,58000,49,8063500,138.50,140.00,138.50,139.00,+,0.5,138.50,8,140.00,3,29.39,
4764,雙鍵,94012,42,7703890,81.80,82.10,81.60,82.00,+,0.2,81.80,5,82.00,4,10.58,
4766,南寶,290360,192,50560720,174.00,175.50,172.50,174.50,+,2.0,174.50,22,175.00,21,29.18,
4807,日成-KY,5018,9,169368,33.80,33.80,33.70,33.75,-,0.15,33.70,10,33.90,3,11.03,
4904,遠傳,3098011,"2,150",221540981,71.60,71.80,71.30,71.50,-,0.1,71.50,5,71.60,22,25.44,
4906,正文,4408810,"1,751",118355106,26.40,27.15,26.40,27.05,+,0.6,27.05,100,27.10,79,541.00,
4912,聯德控股-KY,36010,34,5085414,142.00,142.00,140.50,141.00,-,0.5,140.50,6,141.00,4,15.55,
4915,致伸,5544148,"3,107",295079840,51.90,53.80,51.90,53.50,+,1.6,53.50,245,53.60,11,13.08,
4916,事欣科,106034,67,3650668,34.30,34.60,34.20,34.40,,0.0,34.40,4,34.45,2,11.10,
4919,新唐,5663166,"4,147",283925550,51.30,51.40,49.70,49.70,-,2.3,49.70,56,49.75,3,18.27,
4927,泰鼎-KY,4760261,"2,659",245609812,51.60,52.00,51.20,51.60,+,0.1,51.60,180,51.70,20,9.68,
